new_cases_per_million_nl,new_deaths_per_million_nl,new_cases_per_million_pl,new_deaths_per_million_pl,NL_retail_and_recreation,NL_grocery_and_pharmacy,NL_parks,NL_transit,NL_workplaces,NL_residential,PL_retail_and_recreation,PL_grocery_and_pharmacy,PL_parks,PL_transit,PL_workplaces,PL_residential
28.41,0.171,14.903,0.201,-9.0,-7.0,137.0,-25.0,5.0,0.0,23.0,29.0,212.0,9.0,6.0,-9.0
28.353,0.0,14.928,0.201,5.0,-1.0,152.0,-42.0,-43.0,8.0,12.0,13.0,161.0,-16.0,-33.0,1.0
31.826,0.171,14.978,0.276,10.0,3.0,194.0,-40.0,-40.0,8.0,5.0,6.0,156.0,-20.0,-29.0,3.0
30.972,0.342,18.441,0.427,4.0,-4.0,189.0,-37.0,-38.0,6.0,8.0,6.0,152.0,-19.0,-29.0,3.0
30.745,0.569,19.244,0.301,1.0,-2.0,151.0,-41.0,-40.0,7.0,7.0,6.0,191.0,-17.0,-29.0,1.0
28.923,0.228,22.656,0.326,-3.0,-5.0,173.0,-36.0,-38.0,5.0,-1.0,4.0,167.0,-19.0,-29.0,1.0
26.873,0.285,22.581,0.326,-14.0,-8.0,105.0,-29.0,0.0,2.0,-12.0,-5.0,144.0,-10.0,-3.0,-4.0
34.275,0.0,14.577,0.1,-4.0,-3.0,91.0,-27.0,7.0,1.0,14.0,11.0,144.0,2.0,7.0,-5.0
24.311,0.114,13.749,0.125,5.0,0.0,120.0,-39.0,-37.0,7.0,7.0,4.0,131.0,-18.0,-27.0,2.0
32.51,0.285,19.143,0.427,3.0,2.0,105.0,-40.0,-36.0,8.0,6.0,5.0,146.0,-17.0,-26.0,2.0
30.972,0.455,18.29,0.427,-6.0,-6.0,69.0,-39.0,-34.0,8.0,5.0,2.0,98.0,-19.0,-26.0,3.0
28.98,0.171,22.254,0.401,2.0,-1.0,104.0,-37.0,-34.0,6.0,4.0,5.0,94.0,-19.0,-26.0,3.0
28.524,0.114,19.846,0.201,-6.0,-5.0,92.0,-36.0,-32.0,6.0,3.0,5.0,120.0,-17.0,-25.0,1.0
28.923,0.228,19.043,0.351,-11.0,-6.0,79.0,-28.0,2.0,2.0,-6.0,-6.0,126.0,-8.0,-1.0,-3.0
30.915,0.0,15.832,0.025,-9.0,-5.0,55.0,-29.0,7.0,2.0,54.0,162.0,93.0,2.0,17.0,-5.0
27.215,0.0,12.595,0.151,2.0,-2.0,106.0,-35.0,-33.0,6.0,7.0,-1.0,62.0,-18.0,-26.0,3.0
42.132,0.455,13.799,0.477,3.0,2.0,132.0,-32.0,-32.0,6.0,7.0,7.0,53.0,-13.0,-26.0,4.0
34.958,0.285,14.928,0.502,3.0,-3.0,149.0,-29.0,-30.0,4.0,0.0,3.0,54.0,-12.0,-22.0,1.0
42.872,0.0,15.355,0.351,-13.0,-8.0,45.0,-38.0,-32.0,7.0,1.0,4.0,91.0,-10.0,-21.0,0.0
37.634,0.114,17.337,0.201,-5.0,-3.0,118.0,-31.0,-29.0,4.0,-2.0,3.0,75.0,-11.0,-20.0,-1.0
52.664,0.228,14.226,0.326,-10.0,-6.0,105.0,-26.0,1.0,1.0,-7.0,-3.0,99.0,-11.0,-1.0,-2.0
45.377,0.114,10.964,0.176,-3.0,-3.0,104.0,-23.0,6.0,0.0,4.0,1.0,92.0,-6.0,3.0,-2.0
55.17,0.0,7.577,0.1,-1.0,-3.0,115.0,-33.0,-33.0,5.0,0.0,2.0,63.0,-12.0,-22.0,0.0
65.532,0.057,10.036,0.301,-1.0,0.0,115.0,-35.0,-33.0,6.0,-1.0,3.0,89.0,-11.0,-22.0,0.0
47.028,0.114,10.563,0.276,-5.0,-5.0,97.0,-34.0,-29.0,5.0,1.0,3.0,99.0,-11.0,-19.0,-1.0
72.307,0.171,12.695,0.301,-5.0,-3.0,106.0,-34.0,-30.0,5.0,3.0,7.0,92.0,-9.0,-20.0,-2.0
70.143,0.171,14.903,0.251,-4.0,-4.0,142.0,-28.0,-27.0,3.0,3.0,7.0,100.0,-7.0,-19.0,-5.0
62.002,0.057,15.129,0.326,-10.0,-6.0,121.0,-24.0,2.0,1.0,-1.0,-2.0,161.0,-1.0,-2.0,-7.0
74.926,0.057,12.595,0.151,3.0,-3.0,153.0,-17.0,7.0,-1.0,19.0,20.0,150.0,6.0,4.0,-8.0
78.513,0.114,9.459,0.376,2.0,-3.0,167.0,-30.0,-27.0,4.0,2.0,2.0,100.0,-10.0,-13.0,-3.0
87.793,0.114,15.179,0.602,4.0,1.0,209.0,-31.0,-28.0,5.0,0.0,3.0,122.0,-10.0,-12.0,-2.0
100.262,0.114,15.054,0.251,-3.0,-3.0,143.0,-31.0,-25.0,4.0,1.0,2.0,115.0,-9.0,-13.0,-2.0
112.844,0.342,21.0,0.401,-7.0,-6.0,100.0,-36.0,-27.0,5.0,-1.0,2.0,76.0,-12.0,-14.0,-1.0
107.948,0.455,18.993,0.427,-7.0,-6.0,130.0,-30.0,-24.0,3.0,-1.0,4.0,81.0,-10.0,-13.0,-2.0
